valorPagoEmpenho,log_target,te_uniEle_mean,te_orgProgEle_mean,te_progEle_mean,te_uniEle_median,te_orgProgEle_median,te_progEle_median,te_orgEle_mean,te_funEle_mean,te_subEle_mean,te_orgEle_median,te_funEle_median,te_subEle_median,te_descricaoElemento_mean,te_descricaoElemento_median,te_despesaDot_mean,target_box_cox,target_yeo_johnson,target_log,target_raiz_quadrada,target_inversa,target_z_score
26020.9,10.166693770153875,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,14.00715590854985,19.145975062978383,2.3191170608584772,3.1885253284479136,0.09836039351708188,0.23882219540866917
743.16,6.612256065475787,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,7.805776878826257,11.031863708505146,1.8889249065948246,2.5714307428892162,0.15123431247940405,-1.304261113201224
86.89,4.4760860325765535,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,4.46178108407246,6.762327893841505,1.4987490111265676,2.115676258924449,0.2234094681652876,-2.2316337656410523
2716.97,7.907640557122581,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,9.98430706765833,13.85559919313513,2.067829451205366,2.8120527301461795,0.12645997156500477,-0.7418975684240873
1042.95,6.950766874575384,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,8.36511272171518,11.753846754235054,1.9388519951550298,2.636430707334328,0.14386901733934057,-1.1573038663156927
12626.12,9.44360216083852,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,12.691038646144841,17.405092064105084,2.2453374922070206,3.073044444982617,0.10589179668610771,-0.07509260227138866
26980.97,10.2029241441458,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,14.073763194318195,19.234324708320415,2.322674360003745,3.1942016442525665,0.09801111778075668,0.25455083943527673
27619.16,10.226301219850198,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,14.116773454626994,19.2913869549193,2.3249629524972244,3.1978588492693354,0.09778706675087052,0.2646994981882742
1066.39,6.972971695296844,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,8.402056970234646,11.801608853461975,1.942041489044753,2.6406385014418094,0.14341087899072982,-1.1476641170577822
570.1,6.347564325670818,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,7.373601767869472,10.475498928791804,1.8480711685620184,2.5194373033816135,0.15754074298322593,-1.4191713858112631
19700.37,9.888443455455276,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,13.49769708983109,18.47098868583383,2.2913667475510513,3.1445895527803427,0.10112815070488348,0.11802575673096707
744.67,6.614283143084715,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,7.809104368889966,11.036152434320643,1.8892314233023073,2.5718248663322147,0.15118796373957893,-1.3033811006975649
1477.26,7.298620999433681,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,8.947380315395012,12.507673275330978,1.9876854261225352,2.7015960096642284,0.13701218354502756,-1.0062904181988541
858.48,6.756327555209528,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,8.042936067447343,11.33772409898268,1.9104794813714352,2.599293664673064,0.1480094018279118,-1.2417155491695058
19889.77,9.89801108401976,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,13.515153043929145,18.494093427292256,2.29233383635325,3.1461104691380055,0.1010303980781038,0.12217933858201613
574.49,6.355221851816356,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,7.386039211889315,10.491492088930762,1.8492768138379625,2.52095653509067,0.15735091918375668,-1.4158470341803784
744.76,6.614403832624431,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,7.809302491720033,11.036407792722015,1.8892496699415906,2.571848330019566,0.15118520509250868,-1.3033287059083654
6583.9,8.79253442803322,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,11.528383955083376,15.87516748344102,2.1739030009720075,2.9652208059490643,0.11373285008833199,-0.3577397703295308
805.01,6.692096149377553,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,7.937037737893106,11.201100857872895,1.9009271508303205,2.586908608624888,0.14943001081851046,-1.2696002438702796
3785.43,8.239178901653826,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,10.557770237296566,14.603970724336897,2.108900691098657,2.870396993736899,0.12137131769274641,-0.5979672682989783
192.36,5.264553736395228,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,5.655992506206256,8.277569447566124,1.6609963815748114,2.294461535174479,0.1899496234764858,-1.8893373310912858
896.16,6.799234218504625,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,8.11382374374094,11.429221796152703,1.9168099909147338,2.607534126047946,0.14707538641313828,-1.223088536556042
80.72,4.403298769949421,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,4.354160457203918,6.626304531362874,1.4823539804672832,2.098403862451035,0.22710246391286473,-2.2632328030616575
2551.18,7.844703174892712,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,9.321007708190184,9.876146769195687,13.714678804174222,2.0598385492541103,2.800839726741377,0.12747454909454575,-0.7692204903812488
